Price,Location,Address,Erf Size,Link,Date Added
R 1 295 000,Agulhas,133 Gentoo Street,600 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 195 000,Agulhas,135 Gentoo Street,600 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 895 000,Agulhas,1090 Protea Heights,300 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 850 000,Agulhas,12 Juno Close,552 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 750 000,Agulhas,1151 Zoetendal Drive,901 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 750 000,Agulhas,1161 Racer Street,538 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 3 250 000,Agulhas,65 Main Road,694 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 850 000,Agulhas,101 Gentoo Street,600 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 145 000,Agulhas,33 Camphill Street,654 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 895 000,Agulhas,N/A,633 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 250 000,Agulhas,11 James Orchard Street,605 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 795 000,Agulhas,21 Bo Skool Street,562 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 725 000,Agulhas,13 Protea,300 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 995 000,Agulhas,55 Main Road,595 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 799 000,Agulhas,N/A,300 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 850 000,Agulhas,103 Gentoo Street,600 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 650 000,Agulhas,N/A,630 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 295 000,Agulhas,N/A,553 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 030 000,Agulhas,1128 Gentoo Street,600 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 950 000,Agulhas,N/A,300 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 1 295 000,Agulhas,N/A,553 m²,https://www.property24.com/vacant-land-for-sale/agulhas/western-cape/653,2025-01-15
R 580 000,Albertinia,N/A,892 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 481 500,Albertinia,N/A,427 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 481 500,Albertinia,N/A,478 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 6 800 000,Albertinia,N/A,15 429 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 445 000,Albertinia,Marsh Str 1b,1 454 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 410 000,Albertinia,Marsh Straat 1a,1 263 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 320 000,Albertinia,N/A,285 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 425 000,Albertinia,N/A,862 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 250 000,Albertinia,N/A,210 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 350 000,Albertinia,6 Marsh Street,595 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 410 000,Albertinia,N/A,1 263 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 330 000,Albertinia,N/A,285 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 425 000,Albertinia,"Aloe Park, 28 Station",225 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 425 000,Albertinia,"Aloe Park, 28 Station",225 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 535 000,Albertinia,N/A,1 110 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 840 000,Albertinia,N/A,1 620 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 320 000,Albertinia,N/A,753 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 530 000,Albertinia,N/A,820 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 320 000,Albertinia,N/A,753 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 280 000,Albertinia,N/A,194 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 840 000,Albertinia,N/A,1 620 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 650 000,Albertinia,N/A,817 m²,https://www.property24.com/vacant-land-for-sale/albertinia/western-cape/334,2025-01-15
R 1 265 000,Arniston,18 Sixth Avenue,660 m²,https://www.property24.com/vacant-land-for-sale/arniston/western-cape/409,2025-01-15
R 1 995 000,Arniston,12 Fifth Avenue,491 m²,https://www.property24.com/vacant-land-for-sale/arniston/western-cape/409,2025-01-15
R 1 995 000,Arniston,12 Fifth Avenue,491 m²,https://www.property24.com/vacant-land-for-sale/arniston/western-cape/409,2025-01-15
R 1 995 000,Arniston,N/A,491 m²,https://www.property24.com/vacant-land-for-sale/arniston/western-cape/409,2025-01-15
R 1 265 000,Arniston,18 6th Avenue,660 m²,https://www.property24.com/vacant-land-for-sale/arniston/western-cape/409,2025-01-15
R 350 000,Ashton,3 Swart Street,1 079 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 350 000,Ashton,7 Swart Street,1 372 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 729 000,Ashton,N/A,2 094 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 480 000,Ashton,12 Montagu Street,1 141 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 430 000,Ashton,44 Paul Kruger,1 034 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 585 000,Ashton,N/A,1 516 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 420 000,Ashton,N/A,1 190 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 450 000,Ashton,1 West Street,1 600 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 480 000,Ashton,12 Montagu Street,1 141 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 1 300 000,Ashton,N/A,3 141 m²,https://www.property24.com/vacant-land-for-sale/ashton/western-cape/338,2025-01-15
R 250 000,Beacon Hill,N/A,254 m²,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 20 000 000,Atlantis Central,N/A,21.27 ha,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 1 950 000,Klein Dassenberg,Kr 23 Klein Dassenberg Road,7 ha,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 2 850 000,Klein Dassenberg,N/A,7 ha,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 320 000,Mamre,29 Honey Street Mamre,350 m²,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 500 000,Mamre,N/A,814 m²,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 710 000,Atlantis Central,N/A,905 m²,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 680 000,Atlantis Central,N/A,787 m²,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 2 850 000,Klein Dassenberg,N/A,7 ha,https://www.property24.com/vacant-land-for-sale/atlantis/western-cape/424,2025-01-15
R 750 000,Aurora,40 Hof Street,1 487 m²,https://www.property24.com/vacant-land-for-sale/aurora/western-cape/421,2025-01-15
